condition,count,mean,median
new,739,30565.947225981057,24998.0
good,62845,21930.34126819954,20990.0
unknown,78457,21789.830327440508,17872.0
like new,13952,21320.969251720184,16891.5
excellent,58193,16519.9415737288,12995.0
salvage,122,10350.196721311475,8747.5
fair,1296,8808.905864197532,7000.0
